timestamp,pitch,yaw,roll,accel_x,accel_y,accel_z
3078414,-6.5,11.8,-4.2,1.23,-0.80,9.61
3078464,-6.5,11.8,-4.2,1.42,-0.69,9.16
3078514,-7.0,11.9,-5.2,1.15,-0.61,9.46
3078564,-7.0,11.9,-5.2,1.07,-0.46,9.34
3078614,-6.6,12.1,-4.8,0.73,-1.04,9.39
3078664,-6.6,12.1,-4.8,0.57,-1.27,9.65
3078714,-6.4,11.6,-3.9,0.65,-1.11,9.34
3078764,-6.4,11.6,-3.9,0.61,-1.57,9.61
3078814,-5.8,10.3,-3.7,0.50,-1.38,9.65
3078864,-5.8,10.3,-3.7,0.46,-1.15,9.31
3078914,-5.5,7.7,-3.5,0.42,-1.11,9.85
3078964,-5.5,7.7,-3.5,0.27,-0.77,9.61
3079014,-4.7,4.7,-3.4,0.38,-0.57,10.07
3079064,-4.7,4.7,-3.4,0.23,-0.84,10.19
3079114,-3.9,2.6,-3.9,0.34,-0.73,9.80
3079164,-3.9,2.6,-3.9,0.34,-1.00,9.80
3079214,-3.8,0.4,-4.0,0.30,-1.49,10.07
3079264,-3.8,0.4,-4.0,0.23,-0.96,9.31
3079314,-4.8,-2.8,-4.2,0.34,-0.61,9.58
3079364,-4.8,-2.8,-4.2,0.15,-0.61,9.89
3079414,-5.5,-6.0,-3.9,0.27,-0.46,9.54
3079464,-5.5,-6.0,-3.9,0.30,-0.42,9.92
3079514,-6.4,-8.5,-3.8,0.50,-1.00,9.42
3079564,-6.4,-8.5,-3.8,0.42,-0.50,9.31
3079614,-7.1,-11.0,-3.8,0.46,-0.65,9.27
3079664,-7.1,-11.0,-3.8,0.57,-0.88,9.16
3079714,-6.9,-13.6,-3.6,0.61,-0.38,9.85
3079764,-6.9,-13.6,-3.6,0.54,-0.38,10.07
3079814,-7.5,-15.7,-3.6,0.80,0.27,9.73
3079864,-7.5,-15.7,-3.6,0.80,0.27,9.73
3079914,-8.8,-17.1,-3.9,1.15,-0.38,9.58
3079964,-8.8,-17.1,-3.9,1.19,-0.30,9.73
3080014,-9.8,-18.0,-3.8,1.23,-0.34,9.65
3080064,-9.8,-18.0,-3.8,1.27,-0.57,9.42
3080114,-9.8,-18.8,-3.2,1.04,-0.50,9.16
3080164,-9.8,-18.8,-3.2,1.15,-0.15,9.12
3080214,-8.6,-19.6,-2.6,0.84,0.27,9.80
3080264,-8.6,-19.6,-2.6,0.80,0.38,9.84
3080314,-6.6,-19.5,-2.6,0.69,0.61,10.23
3080364,-6.6,-19.5,-2.6,0.77,0.61,10.31
3080414,-5.5,-17.3,-2.3,0.77,-0.04,9.27
3080464,-5.5,-17.3,-2.3,0.77,0.00,9.84
3080514,-4.3,-13.7,-2.0,0.69,-0.38,9.61
3080564,-4.3,-13.7,-2.0,0.84,0.30,9.43
3080614,-3.7,-9.7,-1.2,0.73,1.04,9.42
3080664,-3.7,-9.7,-1.2,0.69,1.07,9.69
3080714,-2.9,-4.5,-0.2,0.65,1.07,9.61
3080764,-2.9,-4.5,-0.2,0.77,0.77,9.58
3080814,-2.1,1.1,1.8,1.11,0.50,10.31
3080864,-2.1,1.1,1.8,1.04,1.04,10.07
3080914,-1.7,5.9,3.9,1.38,0.38,10.00
3080964,-1.7,5.9,3.9,1.23,0.50,10.27
3081014,-1.7,9.6,5.4,1.27,0.73,9.20
3081064,-1.7,9.6,5.4,1.15,0.73,9.50
3081114,-2.7,12.8,5.5,1.57,0.80,8.43
3081164,-2.7,12.8,5.5,1.19,0.96,9.61
3081214,-2.9,15.4,5.0,1.84,0.19,9.43
3081264,-2.9,15.4,5.0,1.49,0.27,10.65
3081314,-3.1,17.4,4.4,1.46,0.34,10.57
3081364,-3.1,17.4,4.4,1.04,0.00,9.04
3081414,-4.1,18.4,4.3,0.73,0.27,10.00
3081464,-4.1,18.4,4.3,1.07,-0.46,9.46
3081514,-5.0,18.1,5.3,0.84,0.30,9.34
3081564,-5.0,18.1,5.3,0.96,-0.15,9.27
3081614,-5.2,16.8,5.0,0.88,0.69,9.73
3081664,-5.2,16.8,5.0,0.92,-0.19,9.23
3081714,-5.6,15.7,4.3,0.88,-0.46,9.20
3081764,-5.6,15.7,4.3,0.69,-0.11,9.58
3081814,-5.8,13.9,3.7,0.73,-0.50,9.04
3081864,-5.8,13.9,3.7,0.57,0.11,9.38
3081914,-5.6,11.6,2.9,0.50,0.08,9.23
3081964,-5.6,11.6,2.9,0.46,0.04,9.42
3082014,-4.9,9.1,1.6,0.46,-0.92,10.07
3082064,-4.9,9.1,1.6,0.19,-0.96,10.84
3082114,-4.6,6.1,-1.4,0.34,-0.73,9.50
3082164,-4.6,6.1,-1.4,0.15,-0.73,9.50
3082214,-4.5,3.0,-2.7,-0.23,-0.46,10.15
